id,Symbol,name,price,priceopen,high,low,volume,marketcap,tradetime,datadelay,volumeavg,pe,eps,high52,low52,change,changepct,closeyest,shares
0777.HK,HKG:0777,NetDragon Websoft Holdings Ltd,19.84,19.88,20.0,19.7,1512500.0,11040158866.0,2021-02-17,15.0,3007728.0,12.37,1.6,26.4,15.5,0.04,0.2,19.8,556459616.0
6869.HK,HKG:6869,Yangtze Optical Fibre and Cable JSC Ltd,10.86,10.62,10.9,10.5,1123500.0,14802527052.0,2021-02-17,15.0,1138165.0,12.24,0.89,18.28,9.8,0.24,2.26,10.62,351566794.0
1415.HK,HKG:1415,Cowell E Holdings Inc,6.43,5.89,6.54,5.85,33531000.0,5364991240.0,2021-02-17,15.0,7262570.0,12.18,0.53,7.0,1.16,0.54,9.17,5.89,834368800.0
0135.HK,HKG:0135,Kunlun Energy Company Ltd,7.88,7.83,8.06,7.56,24751891.0,68231358449.0,2021-02-17,15.0,24516853.0,11.92,0.66,8.06,2.9,0.04,0.51,7.84,8658801708.0
6099.HK,HKG:6099,China Merchants Securities Co Ltd,11.82,11.66,11.84,11.46,2104840.0,227886875516.0,2021-02-17,15.0,7100002.0,11.82,1.0,14.48,7.2,0.24,2.07,11.58,1274521534.0
2601.HK,HKG:2601,China Pacific Insurance (Group) Ord Shs H,39.4,36.4,39.6,36.1,20673651.0,456628287684.0,2021-02-17,15.0,19666979.0,11.54,3.41,39.6,17.9,2.9,7.95,36.5,2775300000.0
3308.HK,HKG:3308,Golden Eagle Retail Group Limited,7.06,7.06,7.09,7.03,137000.0,11721047205.0,2021-02-17,15.0,106733.0,11.5,0.61,8.32,6.72,0.02,0.28,7.04,1660205000.0
0189.HK,HKG:0189,Dongyue Group Limited,6.6,6.15,6.72,6.1,30007000.0,13937150201.0,2021-02-17,15.0,17827656.0,11.04,0.6,6.85,2.78,0.47,7.67,6.13,2111689455.0
0966.HK,HKG:0966,China Taiping Insurance Hldgs Co Ltd,15.52,14.52,15.82,14.34,19982424.0,55779169354.0,2021-02-17,15.0,15870850.0,10.95,1.42,17.48,11.12,1.04,7.18,14.48,3594018538.0
0874.HK,HKG:0874,Guangzhou Baiyunshan Pharmaceutical Holdings Company Ord Shs H,21.25,20.35,21.3,20.3,898800.0,55413795000.0,2021-02-17,15.0,1346540.0,10.7,1.99,27.2,17.66,0.9,4.42,20.35,219900000.0
0032.HK,HKG:0032,Cross-Harbour Holdings Ltd,12.72,12.62,12.86,12.62,16426.0,4740594079.0,2021-02-17,15.0,13515.0,10.39,1.22,15.5,9.51,0.04,0.32,12.68,372688206.0
0165.HK,HKG:0165,China Everbright Limited,10.6,10.38,10.68,10.22,2645898.0,17863689990.0,2021-02-17,15.0,1987874.0,10.37,1.02,15.58,9.44,0.3,2.91,10.3,1685253712.0
6066.HK,HKG:6066,CSC Financial Ord Shs H,11.7,11.52,11.8,11.24,8788000.0,307367067989.0,2021-02-17,15.0,21824504.0,10.32,1.13,13.74,5.27,0.16,1.39,11.54,1261023762.0
0288.HK,HKG:0288,WH Group Ltd,6.53,6.53,6.54,6.44,17138856.0,96286252746.0,2021-02-17,15.0,37651935.0,10.28,0.64,8.69,5.9,0.03,0.46,6.5,14745214342.0
2611.HK,HKG:2611,Guotai Junan Securities Co Ltd,11.4,10.98,11.48,10.9,1536100.0,168675990355.0,2021-02-17,15.0,3049133.0,10.03,1.14,15.22,9.63,0.42,3.83,10.98,1391827180.0
0576.HK,HKG:0576,"Zhejiang Expressway Co., Ltd.",7.11,7.1,7.15,7.1,8281049.0,30879541119.0,2021-02-17,15.0,6694049.0,10.03,0.71,7.15,4.54,0.22,3.19,6.89,1433854500.0
0799.HK,HKG:0799,Igg Inc,13.94,13.7,14.2,13.38,7954441.0,16676318328.0,2021-02-17,15.0,14052350.0,9.9,1.41,14.22,4.08,0.36,2.65,13.58,1196292599.0
2318.HK,HKG:2318,Ping An Insurance (Group) Co of China Ord Shs H,93.1,90.7,94.3,90.15,53569088.0,1753614813258.0,2021-02-17,15.0,36722386.0,9.64,9.66,103.6,69.0,2.6,2.87,90.5,7447576912.0
0656.HK,HKG:0656,Fosun International Limited,12.3,12.4,12.42,12.12,5949849.0,103377583118.0,2021-02-17,15.0,6242860.0,9.52,1.29,12.7,7.28,0.2,1.65,12.1,8404681424.0
0883.HK,HKG:0883,CNOOC Ltd,9.97,9.5,10.28,9.34,314341760.0,445135148082.0,2021-02-17,15.0,501925375.0,9.0,1.11,12.42,6.24,0.43,4.51,9.54,44647455984.0
0719.HK,HKG:0719,Shandong Xinhua Pharmaceutical Ord Shs H,5.4,4.95,5.4,4.93,2231200.0,5639155299.0,2021-02-17,15.0,1623771.0,8.98,0.6,5.4,3.4,0.45,9.09,4.95,195000000.0
3888.HK,HKG:3888,Kingsoft Corporation Limited,76.05,74.95,76.7,73.2,4706399.0,104396023117.0,2021-02-17,15.0,12422273.0,8.91,8.53,78.15,18.76,0.45,0.6,75.6,1372728717.0
2066.HK,HKG:2066,Shengjing Bank Co Ltd,7.16,7.1,7.2,7.1,36000.0,62984227457.0,2021-02-17,15.0,9159.0,8.75,0.82,7.37,5.76,0.06,0.85,7.1,2340742500.0
2588.HK,HKG:2588,Boc Aviation Ltd,67.95,67.0,68.5,66.2,653456.0,47158000077.0,2021-02-17,15.0,807292.0,8.63,7.87,76.7,33.0,1.05,1.57,66.9,694010334.0
2388.HK,HKG:2388,BOC Hong Kong (Holdings) Ltd,24.25,23.95,24.5,23.8,16811772.0,256389921450.0,2021-02-17,15.0,12410823.0,8.51,2.85,28.15,20.05,0.2,0.83,24.05,10572780266.0
6886.HK,HKG:6886,Huatai Securities Co Ltd,12.46,12.2,12.5,12.14,4491000.0,177396135543.0,2021-02-17,15.0,9688682.0,8.29,1.5,16.52,10.32,0.26,2.13,12.2,1719045680.0
0819.HK,HKG:0819,Tianneng Power International Limited,16.52,16.7,16.8,16.12,7047783.0,18603577255.0,2021-02-17,15.0,16036963.0,8.07,2.05,22.55,4.43,0.02,0.12,16.5,1126124500.0
1908.HK,HKG:1908,C&D International Investment Group Ltd,12.58,12.4,12.6,12.4,867383.0,14803025623.0,2021-02-17,15.0,2019563.0,8.04,1.56,15.9,8.23,0.1,0.8,12.48,1176711106.0
0941.HK,HKG:0941,China Mobile Ltd.,49.5,47.75,49.65,47.45,62592182.0,1013536403401.0,2021-02-17,15.0,159051618.0,7.98,6.2,67.85,39.0,1.65,3.45,47.85,20475482897.0
1776.HK,HKG:1776,GF Securities Co Ltd,11.4,11.1,11.42,10.88,3794072.0,135568909463.0,2021-02-17,15.0,5689761.0,7.9,1.44,13.36,7.44,0.3,2.7,11.1,1701796200.0
2607.HK,HKG:2607,Shanghai Pharmaceuticals Holding H Shs,13.4,13.18,13.5,13.06,2840378.0,55785002411.0,2021-02-17,15.0,3164457.0,7.87,1.7,16.9,11.3,0.22,1.67,13.18,919072704.0
2628.HK,HKG:2628,China Life Insurance Co Ltd,17.1,16.6,17.28,16.52,91498272.0,988877974060.0,2021-02-17,15.0,68702611.0,7.86,2.18,21.9,11.64,0.42,2.52,16.68,7441175000.0
0683.HK,HKG:0683,Kerry Properties Limited,23.35,23.4,23.75,23.05,5416460.0,34009304229.0,2021-02-17,15.0,2083952.0,7.77,3.01,24.5,17.14,0.3,1.3,23.05,1456501228.0
1234.HK,HKG:1234,China Lilang Ltd,5.38,5.32,5.39,5.24,475000.0,6442469001.0,2021-02-17,15.0,1228250.0,7.74,0.69,5.88,4.1,0.06,1.13,5.32,1197484919.0
1099.HK,HKG:1099,SINOPHARM HOLDING CO LTD,18.86,18.9,18.98,18.6,6927477.0,58855574064.0,2021-02-17,15.0,10788683.0,7.71,2.45,26.9,14.7,0.02,0.11,18.84,1341810740.0
1658.HK,HKG:1658,POSTAL SAVINGS BANK of CHINA Co Ltd,6.06,5.97,6.15,5.9,105400980.0,918123321330.0,2021-02-17,15.0,105264850.0,7.67,0.79,6.15,3.02,0.07,1.17,5.99,19856167000.0
6837.HK,HKG:6837,Haitong Securities Co Ltd,7.3,7.12,7.33,7.05,14609100.0,167738820382.0,2021-02-17,15.0,23564743.0,7.34,0.99,9.42,5.79,0.21,2.96,7.09,3409568820.0
0552.HK,HKG:0552,China Communications Services Corp. Ltd.,3.66,3.66,3.69,3.59,10717206.0,25349230134.0,2021-02-17,15.0,16655898.0,7.21,0.51,6.7,3.18,0.03,0.83,3.63,2391420240.0
1199.HK,HKG:1199,COSCO SHIPPING Ports Ltd,5.83,5.74,5.88,5.73,5915564.0,19328177607.0,2021-02-17,15.0,4748204.0,7.08,0.82,6.08,3.3,0.06,1.04,5.77,3315296374.0
3323.HK,HKG:3323,China National Building Material Co Ltd,10.64,10.4,10.74,10.28,28134011.0,89745955695.0,2021-02-17,15.0,39340298.0,7.05,1.51,14.08,6.38,0.3,2.9,10.34,3868697794.0
0548.HK,HKG:0548,Shenzhen Expressway Ord Shs H,7.36,7.22,7.39,7.21,2798183.0,20197628846.0,2021-02-17,15.0,3293210.0,7.04,1.05,10.16,6.65,0.13,1.8,7.23,747500000.0
2386.HK,HKG:2386,SINOPEC Engineering Group Co Ltd,4.24,4.22,4.28,4.13,10888239.0,18774718986.0,2021-02-17,15.0,6278997.0,6.96,0.61,4.49,2.52,0.01,0.24,4.23,1460800000.0
0900.HK,HKG:0900,AEON Credit Service (Asia) Company Ltd.,5.28,5.27,5.29,5.23,244000.0,2211082455.0,2021-02-17,15.0,90039.0,6.88,0.77,6.3,4.67,0.03,0.57,5.25,418765600.0
0546.HK,HKG:0546,Fufeng Group Limited,3.63,3.37,3.64,3.35,5920630.0,9197109994.0,2021-02-17,15.0,3340586.0,6.85,0.53,3.65,2.23,0.29,8.68,3.34,2533639037.0
6881.HK,HKG:6881,China Galaxy Securities Company Ltd,4.91,4.8,4.96,4.76,12138529.0,100610070373.0,2021-02-17,15.0,21665556.0,6.7,0.73,6.34,3.36,0.11,2.29,4.8,3690984633.0
1336.HK,HKG:1336,New China Life Insurance Company Ord Shs H,31.3,30.1,31.6,29.8,9204733.0,160200031695.0,2021-02-17,15.0,9614094.0,6.65,4.71,37.3,20.45,1.25,4.16,30.05,1034107260.0
3948.HK,HKG:3948,Inner Mongolia Yitai Coal Company Ltd,4.46,4.4,4.48,4.3,51700.0,12423441606.0,2021-02-17,15.0,29017.0,6.48,0.69,6.2,4.25,0.03,0.68,4.43,326007000.0
1313.HK,HKG:1313,China Resources Cement Holdings Limited,9.07,8.72,9.15,8.72,25312182.0,63335243869.0,2021-02-17,15.0,13159433.0,6.39,1.42,12.44,7.12,0.22,2.49,8.85,6982937817.0
1088.HK,HKG:1088,China Shenhua Energy Ord Shs H,14.6,14.48,14.76,14.34,14449690.0,384972226058.0,2021-02-17,15.0,25504569.0,6.36,2.3,16.32,11.94,0.18,1.25,14.42,3398582500.0
2356.HK,HKG:2356,Dah Sing Banking Group Limited,8.2,8.11,8.23,8.09,598806.0,11527167214.0,2021-02-17,15.0,280084.0,6.29,1.3,10.28,6.36,0.1,1.23,8.1,1405752132.0
0855.HK,HKG:0855,China Water Affairs Group Ltd,6.19,6.23,6.23,6.1,1482221.0,9810548787.0,2021-02-17,15.0,2327807.0,6.25,0.99,6.93,5.05,0.01,0.16,6.18,1584902859.0
0001.HK,HKG:0001,CK Hutchison Holdings Ltd,55.55,55.0,55.7,54.65,7194110.0,214214156832.0,2021-02-17,15.0,7101113.0,6.21,8.95,71.85,45.05,0.35,0.63,55.2,3856240500.0
0914.HK,HKG:0914,Anhui Conch Cement Ord Shs H,48.0,47.0,48.35,46.65,10254793.0,315497808000.0,2021-02-17,15.0,9870724.0,6.15,7.81,62.05,44.65,0.75,1.59,47.25,1299600000.0
1330.HK,HKG:1330,Dynagreen Environmental Prtctn Gp Co Ltd,3.15,3.14,3.21,3.08,3868000.0,10616353971.0,2021-02-17,15.0,1860524.0,5.93,0.53,4.1,2.61,0.02,0.64,3.13,404359792.0
0038.HK,HKG:0038,First Tractor Ord Shs H,3.35,3.32,3.35,3.25,3196000.0,7032591149.0,2021-02-17,15.0,7990358.0,5.86,0.57,4.25,1.25,0.03,0.9,3.32,391940000.0
0836.HK,HKG:0836,China Resources Power Holdings Co. Ltd.,8.62,8.5,8.7,8.41,10168402.0,41466024488.0,2021-02-17,15.0,10015083.0,5.84,1.48,10.54,6.42,0.16,1.89,8.46,4810443740.0
0440.HK,HKG:0440,Dah Sing Financial Holdings Ltd.,24.2,23.9,24.25,23.35,396000.0,7733717663.0,2021-02-17,15.0,352713.0,5.78,4.19,28.65,18.5,0.55,2.33,23.65,319575100.0
0331.HK,HKG:0331,FSE Services Group Ltd,3.91,3.82,3.92,3.8,1789000.0,1759500038.0,2021-02-17,15.0,317967.0,5.77,0.68,3.94,2.85,0.13,3.44,3.78,450000000.0
0363.HK,HKG:0363,Shanghai Industrial Holdings Limited,11.0,10.82,11.08,10.82,1596828.0,11959327600.0,2021-02-17,15.0,1364566.0,5.62,1.96,14.56,10.24,0.14,1.29,10.86,1087211600.0
0939.HK,HKG:0939,China Construction Bank Ord Shs H,6.36,6.28,6.37,6.24,325866765.0,1612436841849.0,2021-02-17,15.0,314868752.0,5.46,1.16,6.66,4.93,0.07,1.11,6.29,240417319800.0
2328.HK,HKG:2328,"PICC Property & Casualty Co., Ltd.",6.06,5.9,6.13,5.87,53635791.0,134791184927.0,2021-02-17,15.0,31579960.0,5.44,1.11,8.82,5.14,0.15,2.54,5.91,6899293833.0
1398.HK,HKG:1398,Industrial and Commercial Bank of China Ord Shs H,5.15,5.04,5.18,5.0,316322363.0,2290579447416.0,2021-02-17,15.0,270312597.0,5.41,0.95,5.61,3.96,0.09,1.78,5.06,86794044550.0
0257.HK,HKG:0257,China Everbright Environment Group Ltd,4.76,4.71,4.78,4.71,13562472.0,29240563795.0,2021-02-17,15.0,14522350.0,5.22,0.91,5.82,3.7,0.05,1.06,4.71,6142975292.0
1070.HK,HKG:1070,TCL Electronics Holdings Ltd,7.62,7.5,7.68,7.33,5969784.0,18758980777.0,2021-02-17,15.0,14198176.0,5.2,1.46,7.95,2.86,0.21,2.83,7.41,2461808538.0
0152.HK,HKG:0152,Shenzhen International Holdings Limited,12.8,12.72,12.82,12.66,3511392.0,28096232175.0,2021-02-17,15.0,3113361.0,5.05,2.53,16.1,11.6,0.1,0.79,12.7,2195018106.0
0392.HK,HKG:0392,Beijing Enterprises Holdings Limited,26.95,26.85,27.15,26.3,1253714.0,34012336535.0,2021-02-17,15.0,2720562.0,4.95,5.45,35.75,23.1,0.35,1.32,26.6,1262053268.0
0817.HK,HKG:0817,China Jinmao Holdings Group Ltd,3.19,3.18,3.22,3.13,16424749.0,40633801211.0,2021-02-17,15.0,48329805.0,4.81,0.66,6.29,2.97,0.01,0.31,3.18,12737868490.0
0222.HK,HKG:0222,Min Xin Holdings Ltd,4.14,4.1,4.14,4.02,468000.0,2472644943.0,2021-02-17,15.0,312943.0,4.8,0.86,4.32,2.37,0.12,2.99,4.02,597257252.0
1339.HK,HKG:1339,The People's Insurance Co (Group) of China Ord Shs H,2.51,2.46,2.55,2.46,47483000.0,281055742932.0,2021-02-17,15.0,88665576.0,4.8,0.52,3.18,2.07,0.05,2.03,2.46,8726234000.0
1610.HK,HKG:1610,COFCO Joycome Foods Ltd,5.14,5.12,5.2,4.88,42075000.0,20056270859.0,2021-02-17,15.0,93595316.0,4.79,1.07,5.2,1.66,0.05,0.98,5.09,3901998323.0
2768.HK,HKG:2768,Jiayuan International Group Ltd,3.13,3.12,3.15,3.1,306000.0,12694449834.0,2021-02-17,15.0,780006.0,4.79,0.65,3.93,2.82,0.01,0.32,3.12,4055734623.0
1126.HK,HKG:1126,Dream International Limited,3.19,3.2,3.2,3.1,318000.0,2159199388.0,2021-02-17,15.0,139333.0,4.77,0.67,3.6,2.38,0.01,0.31,3.18,676865000.0
1030.HK,HKG:1030,Seazen Group Ltd,7.59,7.47,7.63,7.44,4568000.0,47133900947.0,2021-02-17,15.0,19500921.0,4.68,1.62,8.23,5.76,0.09,1.2,7.5,5907000000.0
3311.HK,HKG:3311,China State Construction Intrnl Hold Ltd,4.93,4.84,5.0,4.82,27895955.0,24892341506.0,2021-02-17,15.0,15092415.0,4.57,1.08,6.95,4.11,0.11,2.28,4.82,5049156668.0
1288.HK,HKG:1288,Agricultural Bank Of China Ord Shs H,2.93,2.87,2.95,2.84,160347627.0,1350440839768.0,2021-02-17,15.0,111996897.0,4.55,0.64,3.3,2.38,0.07,2.45,2.86,30738823096.0
1257.HK,HKG:1257,China Everbright Greentech Ltd,3.56,3.55,3.58,3.51,1188921.0,7355237561.0,2021-02-17,15.0,3690872.0,4.51,0.79,4.69,2.66,0.06,1.71,3.5,2066078000.0
3988.HK,HKG:3988,Bank of China Ord Shs H,2.75,2.72,2.77,2.71,360889289.0,1205299700000.0,2021-02-17,15.0,284690873.0,4.47,0.62,3.25,2.33,0.03,1.1,2.72,83622276395.0
1918.HK,HKG:1918,Sunac China Holdings Ltd,31.1,30.5,31.25,30.3,11888225.0,145026141010.0,2021-02-17,15.0,21230586.0,4.37,7.11,47.0,26.4,0.4,1.3,30.7,4663219911.0
1638.HK,HKG:1638,Kaisa Group Holdings Ltd.,3.84,3.83,3.88,3.79,6608000.0,23561808229.0,2021-02-17,15.0,13276175.0,4.34,0.89,4.58,2.14,0.03,0.79,3.81,6135887697.0
6885.HK,HKG:6885,Henan Jinma Energy Co Ltd,4.72,4.43,4.82,4.43,2198000.0,639187091.0,2021-02-17,15.0,907467.0,4.34,1.09,4.82,2.21,0.32,7.27,4.4,135421000.0
3328.HK,HKG:3328,Bank of Communications Ord Shs H,4.55,4.46,4.56,4.43,65652360.0,377561654827.0,2021-02-17,15.0,27584491.0,4.32,1.05,5.24,3.66,0.1,2.25,4.45,35011862630.0
1558.HK,HKG:1558,Yichang Hec Changjiang Pharmactcl Co Ltd,8.39,8.22,8.4,8.09,1710600.0,7382928466.0,2021-02-17,15.0,3868314.0,4.32,1.94,24.85,7.8,0.19,2.32,8.2,653767700.0
1186.HK,HKG:1186,China Railway Construction Ord Shs H,4.99,4.85,5.04,4.81,13418732.0,117381261615.0,2021-02-17,15.0,40868294.0,4.2,1.19,9.99,4.07,0.18,3.74,4.81,2076296000.0
1138.HK,HKG:1138,COSCO SHIPPING Energy Transportation Ord Shs H,3.28,3.26,3.31,3.22,5762202.0,30086996937.0,2021-02-17,15.0,13944639.0,4.15,0.79,5.37,2.94,0.02,0.61,3.26,1296000000.0
1578.HK,HKG:1578,Bank of Tianjin Co Ltd,3.28,3.13,3.28,3.13,21000.0,19911410386.0,2021-02-17,15.0,8700.0,4.05,0.81,3.46,2.64,0.15,4.79,3.13,1764599063.0
0267.HK,HKG:0267,CITIC Ltd,6.36,6.37,6.43,6.26,20563812.0,185014074210.0,2021-02-17,15.0,22150613.0,3.91,1.63,9.56,5.2,0.04,0.63,6.32,29090262630.0
0998.HK,HKG:0998,China CITIC Bank Ord Shs H,3.77,3.74,3.79,3.69,31512898.0,274444537811.0,2021-02-17,15.0,44991012.0,3.86,0.98,4.27,2.93,0.05,1.34,3.72,14882162977.0
0086.HK,HKG:0086,Sun Hung Kai & Co. Limited,3.38,3.32,3.4,3.32,1055072.0,6700493613.0,2021-02-17,15.0,555339.0,3.85,0.88,3.74,2.45,0.05,1.5,3.33,1982394493.0
2002.HK,HKG:2002,China Sunshine Paper Holdings Co Ltd,2.43,2.29,2.5,2.29,7170000.0,1991049714.0,2021-02-17,15.0,5247389.0,3.82,0.64,2.54,0.89,0.14,6.11,2.29,819362000.0
3618.HK,HKG:3618,Chongqing Rural Commercial Bank Ord Shs H,3.68,3.52,3.7,3.52,7235000.0,54866960995.0,2021-02-17,15.0,6618855.0,3.81,0.96,3.79,2.5,0.13,3.66,3.55,2513336041.0
2800.HK,HKG:2800,Tracker Fund of Hong Kong,31.24,30.7,31.34,30.64,156462589.0,104528820554.0,2021-02-17,15.0,130414401.0,3.77,8.29,31.34,21.35,0.34,1.1,30.9,3104992500.0
0743.HK,HKG:0743,Asia Cement (China) Holdings Corp,7.23,7.3,7.3,7.18,886000.0,11328332759.0,2021-02-17,15.0,1448851.0,3.72,1.94,11.54,6.5,0.03,0.42,7.2,1566851000.0
1988.HK,HKG:1988,China Minsheng Banking Ord Shs H,4.92,4.95,4.97,4.78,37361300.0,264706483704.0,2021-02-17,15.0,21918417.0,3.54,1.39,6.06,3.85,0.09,1.86,4.83,8320295289.0
1171.HK,HKG:1171,Yanzhou Coal Mining Ord Shs H,6.63,6.52,6.72,6.44,16680103.0,45033135417.0,2021-02-17,15.0,13701977.0,3.33,1.99,7.0,4.8,0.18,2.79,6.45,1900000000.0
1800.HK,HKG:1800,China Communications Constructions Group Ord Shs H,3.79,3.72,3.83,3.69,25474192.0,113741992055.0,2021-02-17,15.0,64130563.0,3.29,1.15,6.4,3.21,0.12,3.27,3.67,4418476000.0
0581.HK,HKG:0581,China Oriental Group Co Ltd,2.43,2.37,2.44,2.33,4548654.0,9045842918.0,2021-02-17,15.0,5016997.0,3.25,0.75,2.91,1.63,0.1,4.29,2.33,3722569000.0
1599.HK,HKG:1599,Beijing Urban Constn Dsg & Dev Gp Co Ltd,2.03,2.02,2.04,2.01,1634000.0,2737800061.0,2021-02-17,15.0,1126633.0,3.24,0.63,2.66,1.77,0.02,1.0,2.01,387937000.0
1963.HK,HKG:1963,Bank of ChongQing Co Ltd,4.94,4.79,4.95,4.74,1285000.0,66471257569.0,2021-02-17,15.0,1668444.0,3.17,1.56,5.23,3.5,0.18,3.78,4.76,1579020812.0
0390.HK,HKG:0390,China Railway Group Ord Shs H,3.83,3.75,3.85,3.72,39602153.0,150662736898.0,2021-02-17,15.0,26731511.0,3.09,1.24,4.85,3.33,0.1,2.68,3.73,4207390000.0
0173.HK,HKG:0173,K. Wah International Holdings Ltd,3.93,3.92,3.95,3.91,1040789.0,12289010445.0,2021-02-17,15.0,1279750.0,2.94,1.34,4.05,2.9,0.01,0.26,3.92,3126974615.0
3698.HK,HKG:3698,Huishang Bank Corp Ltd,2.68,2.58,2.68,2.58,104200.0,72570569407.0,2021-02-17,15.0,128054.0,2.78,0.97,3.01,2.49,0.04,1.52,2.64,3478750000.0
0317.HK,HKG:0317,CSSC Offshore & Marine Eng (Gp) Ord Shs H,8.73,8.6,8.79,8.46,1702000.0,30464302432.0,2021-02-17,15.0,5740355.0,2.61,3.35,14.28,3.9,0.15,1.75,8.58,592071197.0
0610.HK,HKG:0610,Wai Kee Holdings Ltd.,3.99,3.94,3.99,3.94,98000.0,3164564903.0,2021-02-17,15.0,159142.0,2.49,1.6,4.8,3.08,0.01,0.25,3.98,793124034.0
0691.HK,HKG:0691,China Shanshui Cement Group Limited,2.03,1.87,2.05,1.87,625000.0,8838551318.0,2021-02-17,15.0,200400.0,2.44,0.83,2.93,1.74,0.16,8.56,1.87,4353966228.0
2355.HK,HKG:2355,Baoye Group Company Limited,4.06,4.02,4.13,4.02,322000.0,2284415807.0,2021-02-17,15.0,229863.0,2.31,1.76,7.2,3.13,0.05,1.25,4.01,211922000.0
0113.HK,HKG:0113,Dickson Concepts (International) Ltd,3.84,3.77,3.85,3.75,142000.0,1513738748.0,2021-02-17,15.0,85616.0,2.29,1.67,4.73,2.95,0.07,1.86,3.77,394202808.0
0129.HK,HKG:0129,Asia Standard International Group Ltd.,1.07,1.01,1.08,1.01,1152777.0,1412167117.0,2021-02-17,15.0,290901.0,1.9,0.56,1.22,0.78,0.04,3.88,1.03,1319782288.0
0214.HK,HKG:0214,Asia Orient Holdings Limited,1.06,1.0,1.09,1.0,140282.0,891326387.0,2021-02-17,15.0,22887.0,1.51,0.7,1.2,0.76,0.04,3.92,1.02,840873996.0
0124.HK,HKG:0124,Guangdong Land Holdings Ltd,1.19,1.16,1.22,1.16,996500.0,2036728949.0,2021-02-17,15.0,303262.0,0.96,1.24,1.4,0.72,0.06,5.31,1.13,1711536850.0
1073.HK,HKG:1073,Da Yu Financial Holdings Ltd,0.32,0.32,0.32,0.32,22000.0,358889007.0,2021-02-17,15.0,139066.0,0.41,0.77,0.54,0.21,0.0,1.61,0.31,1139330190.0
0351.HK,HKG:0351,Asia Energy Logistics Group Limited,0.4,0.35,0.4,0.35,5062420.0,677990107.0,2021-02-17,15.0,1162878.0,0.25,1.58,0.43,0.12,0.03,6.67,0.38,1694975244.0
