id,Symbol,name,price,priceopen,high,low,volume,marketcap,tradetime,datadelay,volumeavg,pe,eps,high52,low52,change,changepct,closeyest,shares
1099.HK,HKG:1099,SINOPHARM HOLDING CO LTD,17.64,17.46,17.68,17.18,9588457,55048369935,2021-03-05,15,10672402,7.22,2.44,23.7,14.7,0.08,0.46,17.56,1341810740
0489.HK,HKG:0489,Dongfeng Motor Group Co. Ltd,7.24,7.01,7.39,6.93,21195986,62380699587,2021-03-05,15,26825852,7.05,1.03,10.1,4.38,0.13,1.83,7.11,2855732000
2356.HK,HKG:2356,Dah Sing Banking Group Limited,8.82,8.35,8.82,8.29,1419568,12398733375,2021-03-05,15,433732,6.77,1.3,9.59,6.36,0.39,4.63,8.43,1405752132
0001.HK,HKG:0001,CK Hutchison Holdings Ltd,59.25,59.15,59.45,58.05,9241197,228482249625,2021-03-05,15,9094010,6.62,8.95,67.9,45.05,0.1,0.17,59.15,3856240500
6198.HK,HKG:6198,Qingdao Port International Co Ltd,4.51,4.48,4.53,4.41,5457000,48640081868,2021-03-05,15,2314077,6.59,0.68,5.45,4.02,0.03,0.67,4.48,1099025000
0546.HK,HKG:0546,Fufeng Group Limited,3.43,3.42,3.43,3.26,2790000,8690382066,2021-03-05,15,4461428,6.47,0.53,3.87,2.23,0.01,0.29,3.42,2533639037
0440.HK,HKG:0440,Dah Sing Financial Holdings Ltd.,26.1,25.55,26.3,25.5,507621,8340910231,2021-03-05,15,341804,6.23,4.19,28.15,18.5,0.25,0.97,25.85,319575100
3888.HK,HKG:3888,Kingsoft Corporation Limited,52.25,49.2,53.3,47.35,18114406,71725075463,2021-03-05,15,13230931,6.13,8.52,79.5,18.76,1.55,3.06,50.7,1372728717
0836.HK,HKG:0836,China Resources Power Holdings Co. Ltd.,8.91,8.84,9.01,8.72,5824990,42861052989,2021-03-05,15,12039556,6.04,1.48,10.2,6.42,0.07,0.79,8.84,4810443740
1398.HK,HKG:1398,Industrial and Commercial Bank of China Ord Shs H,5.47,5.28,5.52,5.26,599564442,2420829910146,2021-03-05,15,282372466,5.75,0.95,5.52,3.96,0.19,3.6,5.28,86794044550
0939.HK,HKG:0939,China Construction Bank Ord Shs H,6.49,6.35,6.55,6.32,635907491,1647505262897,2021-03-05,15,342442642,5.59,1.16,6.66,4.93,0.11,1.72,6.38,240417319800
2328.HK,HKG:2328,"PICC Property & Casualty Co., Ltd.",6.14,6.0,6.15,5.98,72403840,136570543430,2021-03-05,15,41174458,5.52,1.11,8.51,5.14,0.06,0.99,6.08,6899293833
6818.HK,HKG:6818,China Everbright Bank Ord Shs H,3.43,3.36,3.46,3.34,35608834,252977253923,2021-03-05,15,23556643,5.05,0.68,3.97,2.4,0.06,1.78,3.37,12678735500
0152.HK,HKG:0152,Shenzhen International Holdings Limited,12.48,12.4,12.54,12.2,7723380,27399615677,2021-03-05,15,4096281,4.93,2.53,15.8,11.6,0.06,0.48,12.42,2195482106
1638.HK,HKG:1638,Kaisa Group Holdings Ltd.,4.27,4.23,4.32,4.13,16814308,26200240349,2021-03-05,15,15842113,4.83,0.88,4.58,2.14,0.01,0.23,4.26,6135887697
0392.HK,HKG:0392,Beijing Enterprises Holdings Limited,26.0,25.7,26.2,25.3,1864009,32813384968,2021-03-05,15,3184726,4.77,5.45,34.05,23.1,0.15,0.58,25.85,1262053268
1288.HK,HKG:1288,Agricultural Bank Of China Ord Shs H,3.07,2.96,3.09,2.95,342785977,1413744179258,2021-03-05,15,134965522,4.77,0.64,3.3,2.38,0.13,4.42,2.94,30738823096
1339.HK,HKG:1339,The People's Insurance Co (Group) of China Ord Shs H,2.47,2.44,2.49,2.43,50976889,285090120302,2021-03-05,15,97802689,4.73,0.52,3.18,2.07,0.02,0.82,2.45,8726234000
0331.HK,HKG:0331,FSE Services Group Ltd,5.0,4.65,5.0,4.63,3332000,2250000000,2021-03-05,15,830067,4.63,1.08,5.0,2.85,0.2,4.17,4.8,450000000
3988.HK,HKG:3988,Bank of China Ord Shs H,2.84,2.78,2.87,2.76,697062519,1240349514514,2021-03-05,15,338148271,4.61,0.62,3.19,2.33,0.06,2.16,2.78,83622276395
3383.HK,HKG:3383,Agile Group Holdings Ltd,10.7,10.62,10.8,10.4,4680969,41912407502,2021-03-05,15,4850991,4.58,2.34,11.98,7.6,0.06,0.56,10.64,3917047500
0222.HK,HKG:0222,Min Xin Holdings Ltd,3.89,3.8,3.89,3.8,264000,2323330772,2021-03-05,15,335560,4.51,0.86,4.32,2.37,0.15,4.01,3.74,597257252
0951.HK,HKG:0951,Chaowei Power Holdings Limited,3.32,3.27,3.32,3.26,1438000,3665701496,2021-03-05,15,1753644,4.48,0.74,4.79,1.76,0.02,0.61,3.3,1104126979
3328.HK,HKG:3328,Bank of Communications Ord Shs H,4.55,4.44,4.58,4.42,46062164,380203384938,2021-03-05,15,33108000,4.33,1.05,5.22,3.66,0.08,1.79,4.47,35011862630
1070.HK,HKG:1070,TCL Electronics Holdings Ltd,6.28,6.0,6.41,5.93,11680184,15499090450,2021-03-05,15,12535098,4.29,1.46,7.95,2.86,0.16,2.61,6.12,2468007951
0832.HK,HKG:0832,Central China Real Estate Ltd,3.71,3.63,3.74,3.56,5641000,10911296057,2021-03-05,15,4769102,4.12,0.9,5.02,3.11,0.07,1.92,3.64,2941050120
2183.HK,HKG:2183,Sansheng Holdings Group Co Ltd,3.04,2.84,3.13,2.84,1574000,1491405741,2021-03-05,15,297758,4.04,0.75,7.89,2.75,0.21,7.42,2.83,490594000
1238.HK,HKG:1238,Powerlong Real Estate Holdings Limited,7.04,7.0,7.18,6.61,15387000,29162516961,2021-03-05,15,5726306,3.99,1.76,7.18,3.82,0.01,0.14,7.03,4142403000
0086.HK,HKG:0086,Sun Hung Kai & Co. Limited,3.42,3.39,3.42,3.39,1030645,6779789317,2021-03-05,15,753570,3.9,0.88,3.67,2.45,0.03,0.88,3.39,1982394493
1114.HK,HKG:1114,Brilliance China Automotive Holding Ltd.,7.0,6.97,7.14,6.77,20261784,4569954423,2021-03-05,15,26746259,3.89,1.8,9.13,4.91,0.04,0.57,6.96,5045269388
0998.HK,HKG:0998,China CITIC Bank Ord Shs H,3.79,3.71,3.82,3.69,54081799,273020492552,2021-03-05,15,51156352,3.89,0.97,4.18,2.93,0.06,1.61,3.73,14882162977
0480.HK,HKG:0480,HKR International Limited,3.28,3.25,3.28,3.2,14400,4871789871,2021-03-05,15,388538,3.81,0.86,4.08,2.52,0.04,1.23,3.24,1485301803
0743.HK,HKG:0743,Asia Cement (China) Holdings Corp,7.35,7.05,7.47,7.05,1727910,11516354700,2021-03-05,15,1634256,3.79,1.94,10.8,6.5,0.08,1.1,7.27,1566851000
3618.HK,HKG:3618,Chongqing Rural Commercial Bank Ord Shs H,3.56,3.47,3.59,3.4,19244657,55900222701,2021-03-05,15,7508483,3.69,0.96,3.79,2.5,0.11,3.19,3.45,2513336041
0605.HK,HKG:0605,China Financial Services Holdings Ltd,1.98,1.91,1.98,1.89,123500,414386416,2021-03-05,15,27337,3.59,0.55,6.6,1.4,0.02,1.02,1.96,209286067
0390.HK,HKG:0390,China Railway Group Ord Shs H,4.15,4.03,4.17,4.0,48610286,162394691231,2021-03-05,15,35277110,3.36,1.24,4.85,3.33,0.08,1.97,4.07,4207390000
3698.HK,HKG:3698,Huishang Bank Corp Ltd,2.65,2.63,2.67,2.6,106100,71867048586,2021-03-05,15,99011,2.75,0.96,2.99,2.49,0.02,0.76,2.63,3478750000
0113.HK,HKG:0113,Dickson Concepts (International) Ltd,4.08,4.01,4.08,3.86,249500,1608347426,2021-03-05,15,139315,2.44,1.67,4.7,2.95,0.01,0.25,4.07,394202808
0214.HK,HKG:0214,Asia Orient Holdings Limited,1.05,1.05,1.05,1.05,20000,882917655,2021-03-05,15,35745,1.5,0.7,1.15,0.76,0.01,0.96,1.04,840873996
